[13:55:56] : REQUEST MEAS. ON
[13:55:57] : REQUEST MEAS. OFF
[13:56:10] : REQUEST MEAS. ON
[13:56:11] : REQUEST MEAS. OFF
[13:56:23] : REQUEST MEAS. ON
[13:56:24] : REQUEST MEAS. OFF
[13:56:37] : REQUEST MEAS. ON
[13:56:38] : REQUEST MEAS. OFF
[13:56:50] : REQUEST MEAS. ON
[13:56:51] : REQUEST MEAS. OFF
[13:57:04] : REQUEST MEAS. ON
[13:57:05] : REQUEST MEAS. OFF
[13:57:17] : REQUEST MEAS. ON
[13:57:18] : REQUEST MEAS. OFF
