[12:17:16] : REQUEST MEAS. OFF
[12:17:29] : REQUEST MEAS. ON
[12:17:30] : REQUEST MEAS. OFF
[12:17:44] : REQUEST MEAS. ON
[12:17:45] : REQUEST MEAS. OFF
[12:17:58] : REQUEST MEAS. ON
[12:17:59] : REQUEST MEAS. OFF
[12:19:04] : REQUEST MEAS. ON
[12:19:05] : REQUEST MEAS. OFF
[12:19:18] : REQUEST MEAS. ON
[12:19:19] : REQUEST MEAS. OFF
[12:19:33] : REQUEST MEAS. ON
[12:19:34] : REQUEST MEAS. OFF
[12:20:23] : REQUEST MEAS. ON
[12:20:24] : REQUEST MEAS. OFF
[12:20:38] : REQUEST MEAS. ON
[12:20:39] : REQUEST MEAS. OFF
[12:20:52] : REQUEST MEAS. ON
[12:20:53] : REQUEST MEAS. OFF
[12:21:07] : REQUEST MEAS. ON
[12:21:08] : REQUEST MEAS. OFF
[12:21:34] : REQUEST MEAS. ON
[12:21:35] : REQUEST MEAS. OFF
[12:21:50] : REQUEST MEAS. ON
[12:21:52] : REQUEST MEAS. OFF
[12:22:15] : REQUEST MEAS. ON
[12:22:16] : REQUEST MEAS. OFF
[12:22:34] : REQUEST MEAS. ON
[12:22:35] : REQUEST MEAS. OFF
[12:22:48] : REQUEST MEAS. ON
[12:22:49] : REQUEST MEAS. OFF
[12:23:03] : REQUEST MEAS. ON
[12:23:04] : REQUEST MEAS. OFF
[12:23:17] : REQUEST MEAS. ON
[12:23:18] : REQUEST MEAS. OFF
[12:23:32] : REQUEST MEAS. ON
[12:23:33] : REQUEST MEAS. OFF
[12:23:46] : REQUEST MEAS. ON
[12:23:47] : REQUEST MEAS. OFF
[12:24:01] : REQUEST MEAS. ON
[12:24:02] : REQUEST MEAS. OFF
[12:24:15] : REQUEST MEAS. ON
[12:24:16] : REQUEST MEAS. OFF
[12:24:30] : REQUEST MEAS. ON
[12:24:31] : REQUEST MEAS. OFF
[12:24:44] : REQUEST MEAS. ON
[12:24:45] : REQUEST MEAS. OFF
[12:24:59] : REQUEST MEAS. ON
